date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Alpha,1.0,1.67,,
2021-01-01,California,State,Other,29.0,48.33,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Omicron,1.0,1.67,,
2021-01-01,California,State,Total,60.0,100.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Epsilon,29.0,48.33,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Alpha,6.0,5.45,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Epsilon,47.0,42.73,,
2021-01-02,California,State,Total,110.0,100.0,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Omicron,3.0,2.73,,
2021-01-02,California,State,Delta,1.0,0.91,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Other,53.0,48.18,,
2021-01-03,California,State,Gamma,1.0,0.38,,
2021-01-03,California,State,Total,266.0,100.0,,
2021-01-03,California,State,Other,137.0,51.5,,
2021-01-03,California,State,Epsilon,119.0,44.74,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Alpha,5.0,1.88,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-04,California,State,Epsilon,692.0,54.83,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Alpha,7.0,0.55,,
2021-01-04,California,State,Total,1262.0,100.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Other,558.0,44.22,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Other,357.0,43.86,,
2021-01-05,California,State,Total,814.0,100.0,,
2021-01-05,California,State,Epsilon,441.0,54.18,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.97,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.54,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-06,California,State,Other,154.0,41.4,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Total,372.0,100.0,,
